,Opponents,,,,,,,,,,,,,,,,Pass yards,,,,,,,,,,,,,,,,Pass YPA,,,,,,,,,,,,,,,,Rush Yards,,,,,,,,,,,,,,,,Rush YPA,,,,,,,,,,,,,,,,Penalty yards,,,,,,,,,,,,,,,,Turnovers,,,,,,,,,,,,,,,,3rd percentage,,,,,,,,,,,,,,,,TOP,,,,,,,,,,,,,,,,RZ%,,,,,,,,,,,,,,,,H/a,,,,,,,,,,,,,,,,Spread,,,,,,,,,,,,,,,,Covered,,,,,,,,,,,,
BAL,CLE,HOU,KC,WSH,CIN,PHI,PIT,IND,NE,TEN,PIT,DAL,CLE,,,,270,177,70,206,171,173,192,156,242,177,90,107,154,,,,9.6,6.3,2.2,8.6,4.5,3.7,6,6.2,6.7,5.9,4.3,6.3,6.2,,,,111,230,158,144,161,182,265,110,115,129,129,294,231,,,,3.7,6.2,7.5,4.5,6.7,4.9,5.6,2.9,4.1,3.9,4.6,4,7.2,,,,66,21,45,30,25,132,110,55,64,81,86,23,69,,,,1,0,1,2,1,0,4,1,1,1,2,1,0,,,,0.5454,0.355,0.3333,0.4545,0.477,0.375,0.47,0.384,0.461,0.6,0.427,0.4545,0.5454,,,,30,35,26,29,25,36,35,33,32,27,26,27,28,,,,0.8333,0.333,0.25,1,1,0.666,0.6,0.66666,0.666,0.25,0.5,0.25,1,,,,1,0,1,0,1,0,1,0,0,1,0,1,0,,,,-7,-7.5,-2,-13,-11,-10,-4,1,-7,-6,10.5,-9,-3,,,,1,1,0,1,1,0,0,1,0,0,1,1,1
CLE,BAL,CIN,WSH,DAL,IND,PIT,CIN,LV,HOU,PHI,JAC,TEN,BAL,,,,168,219,142,201,261,145,316,122,125,187,252,340,355,,,,4.1,9.5,5.7,6.1,6.7,5.9,10.9,4.9,6,7.5,6.7,10,7.4,,,,138,215,158,307,124,75,82,101,231,137,207,118,138,,,,5.1,6.1,4.3,7.7,3.8,3.4,3.7,4.6,5.6,3.4,6.3,3.3,4.9,,,,80,76,50,40,10,55,40,59,63,53,47,92,75,,,,3,1,0,0,2,2,1,1,0,1,1,1,1,,,,0.25,0.625,0.375,0.4545,0.588,0.0833,0.714,0.3,0.5,0.27,0.4545,0.625,0.375,,,,30,26,33,33,35,26,27,22,34,31,33,36,31,,,,1,0.8,0.75,0.8,0.5,1,1,0,0.333,0.3333,0.75,0.8,1,,,,0,1,1,0,1,0,0,1,1,1,0,0,1,,,,7,-6,-7,3.5,-1,3,-4,-1,-4.5,-2.5,-6,6,3,,,,0,0,1,1,1,0,0,0,0,1,0,1,0
MIA,NE,BUF,JAC,SEA,SF,NYJ,LAR,ARI,LAC,DEN,NYJ,CIN,KC,,,,182,311,156,312,342,192,90,221,169,167,241,296,287,,,,5.9,6.2,7.4,6.8,11.4,6.2,3.9,7.1,6.8,3.8,5.6,7.6,5.4,,,,87,99,138,103,94,110,55,91,111,56,104,110,80,,,,3.2,4.5,3.8,4.7,2.8,4.4,4.5,3.6,3.5,3.3,4.2,2.4,3.3,,,,35,20,51,20,69,25,30,75,15,50,20,54,40,,,,3,0,0,2,0,2,2,0,1,1,2,1,1,,,,0.3636,0.4166,0.538,0.538,0.333,0.1111,0.25,0.5,0.36,0.4375,0.5,0.1,0.46666,,,,25,31,35,33,36,28,23,29,30,30,32,32,32,,,,0.5,0.6,0.8,0.333,0.5,0.6,1,1,0.6,0.25,0.666,0.25,0.666,,,,0,1,0,1,0,1,1,0,1,0,0,1,1,,,,6.5,5.5,3,6.5,8,-8.5,3.5,6,-3,-4,-7,-10,7.5,,,,0,1,1,0,1,1,1,1,1,0,1,1,1
NE,MIA,SEA,LV,KC,DEN,SF,BUF,NYJ,BAL,HOU,ARI,LAC,LAR,,,,140,397,156,172,171,147,161,274,135,349,69,126,113,,,,6.7,8.8,5.2,4.4,5.5,5.4,6,7.8,7.1,8.3,3.3,5.5,3.9,,,,217,67,250,185,117,94,188,159,173,86,110,165,107,,,,5.2,2.7,6.6,5.3,4.7,4.3,5.5,3.9,4.4,3.6,3.7,3.8,3.7,,,,47,12,33,43,4,30,35,81,18,55,42,15,27,,,,1,1,1,4,3,4,1,0,0,0,2,0,1,,,,0.5,0.5833,0.2727,0.4,0.31,0.1666,0.5,0.4166,0.4545,0.4545,0.3636,0.428,0.23,,,,35,29,35,31,28,21,30,36,28,32,26,33,28,,,,0.75,0.6,0.5,0.333,0.5,0,0.333,0.75,0.666,0.5,0.6666,0.6,0,,,,1,0,1,0,1,1,0,0,1,0,1,0,0,,,,-6.5,4,-7,8.5,-7.5,-2.5,4,-9,7,3,1,2,4.5,,,,1,0,1,0,0,0,1,0,1,0,1,1,0
BUF,NYJ,MIA,LAR,LV,TEN,KC,NYJ,NE,SEA,ARI,LAC,SF,PIT,,,,306,411,274,274,275,122,296,149,386,296,160,386,230,352,,,6.2,11.4,7.4,7.8,5.9,4.5,6.6,7.8,8.6,5.9,5.7,9,5.2,,,,98,112,101,63,95,84,126,190,34,73,172,81,104,182,,,3.1,4.9,4.8,2.6,4.3,3.7,4.7,5,1.8,4.1,5.7,3,3.9,,,,79,55,55,81,56,39,106,30,70,69,85,50,48,,,,2,1,2,0,3,1,1,1,0,2,3,1,1,,,,0.5,0.5,0.5,0.538,0.764,0.4444,0.2727,0.4545,0.4166,0.461,0.4444,0.4444,0.5,,,,41,29,28,31,33,22,34,30,32,30,30,35,35,,,,0.375,1,1,0.5,1,1,0,0.75,0.571,1,0.6666,0.4,0.4,,,,1,0,1,0,0,1,0,1,1,0,1,0,1,,,,-6.5,-5.5,-2.5,-3,-3,3,-9.5,-4,3,2,-4.5,1.5,-2,,,,1,0,1,1,0,0,0,0,1,1,1,1,1
NYJ,BUF,SF,IND,DEN,ARI,MIA,BUF,KC,NE,LAC,MIA,LV,SEA,,,,202,173,151,192,162,148,91,128,257,196,173,170,116,,,,6.1,5.2,4.9,3.8,4.5,3.1,3.1,4.1,9.9,6.3,5.8,6.5,4,,,,52,104,109,129,123,115,100,93,65,96,87,206,69,,,,3.5,3.6,3.8,5.4,4.4,5.2,4.5,3.7,3.6,4,3.8,6.1,3,,,,95,65,57,114,30,80,49,25,32,88,74,40,50,,,,2,0,3,0,0,1,2,1,1,1,2,3,1,,,,0.3636,0.37,0.25,0.42,0.31,0.121,0.25,0.1666,0.6,0.45,0.2307,0.545454,0.3333,,,,19,28,30,29,27,32,26,28,24,23,28,29,25,,,,0.5,1,0.5,0,0.3333,0,0.333,0,0.5,1,0,1,0,,,,0,1,0,1,1,0,1,0,1,0,1,1,0,,,,6.5,7,11.5,1,7,8.5,9.5,19.5,9,9.5,7,7.5,17.5,,,,0,0,0,0,0,0,1,0,1,1,0,1,0
SF,ARI,NYJ,NYG,PHI,MIA,LAR,NE,SEA,GB,NO,LAR,BUF,WSH,,,,243,177,327,301,128,268,270,299,282,232,233,316,236,,,,6.8,5.9,8.6,6,3.2,8.1,10.4,6.8,7.8,4.7,6.3,8.1,4.8,,,,123,182,93,116,131,122,197,52,55,49,112,86,108,,,,4.9,6.3,2.7,5.8,6.9,3.3,5.3,2.4,3.2,2,3.4,4.1,4,,,,53,59,45,42,75,63,65,36,33,51,40,43,35,,,,0,1,0,3,3,0,2,2,0,4,3,2,3,,,,0.1818,0.538,0.6666,0.4545,0.2,0.38,0.5454,0.48,0.3,0.4375,0.22,0.5454,0.27,,,,29,32,40,30,23,38,39,30,23,33,34,25,32,,,,0.25,0,0.666,0.666,0.666,1,0.8,1,0.333,0.3333,1,0.6,1,,,,1,0,0,1,1,1,0,0,1,0,0,1,1,,,,-7,-7,-3.5,-7.5,-8,2.5,2.5,1.5,6.5,9.5,5,-1.5,-5,,,,0,1,1,0,0,1,1,0,0,0,1,0,0
SEA,ATL,NE,DAL,MIA,MIN,ARI,SF,BUF,LAR,ARI,PHI,NYG,NYJ,,,,299,275,295,343,190,372,249,362,220,182,225,216,236,,,,7.9,9.2,6.7,9.5,5.3,7.2,6.4,7.9,5.1,5.9,6.8,4.5,7.2,,,,84,154,117,98,124,200,101,57,113,165,76,111,174,,,,4.2,5.1,4.5,3.8,7.8,6.7,3.6,3.4,5.1,5.8,2.5,5,4.8,,,,46,68,30,0,25,78,30,13,23,79,83,41,35,,,,0,1,0,1,1,3,0,4,3,0,0,2,1,,,,0.3333,0.4166,0.384,0.4,0,0.36,0.6,0.25,0.5,0.6,0.2,0.31,0.5454,,,,30,31,32.5,27,20,35,30,28,26,35,33,30,35,,,,1,1,1,0.666,1,0.666,1,0.75,0.3333,0.5,0.5,0,0.83,,,,0,1,1,0,1,0,1,0,0,1,0,1,1,,,,1,-4,-5.5,-6.5,-6.5,-3.5,-1.5,-3,2.5,-3.5,-6.5,-10.5,-17.5,,,,1,1,1,1,0,0,1,0,0,1,0,0,1
LAR,DAL,PHI,BUF,NYG,WSH,SF,CHI,MIA,SEA,TB,SF,ARI,NE,,,,244,445,461,481,276,247,59,132,220,196,187,277,171,,,,8.4,9.2,9.1,5.4,9.7,5.2,6.2,5.4,7.1,7.4,5.5,7.2,5.1,,,,136,125,61,85,126,97,83,133,144,180,60,111,101,,,,3.8,4.9,5.2,2.5,3.7,5.9,4.7,2.2,3.7,1.9,4.5,3.8,5.2,,,,34,24,30,5,60,34,46,45,49,65,27,75,35,,,,1,1,2,1,1,1,1,4,1,2,4,1,1,,,,0.53,0.583,0.6,0.37,0.4,0.333,0.31,0.411,0.6,0.53,0.31,0.6,0.214,,,,36,31,32,27,36,22,32,36,34,33,26,39,32,,,,0.4,0.8,0.75,0.5,0.75,0.333,0.75,0.5,0.75,1,1,0.5,0.6666,,,,0,1,0,1,1,1,0,0,1,0,1,0,0,,,,-1,1.5,2.5,-10.5,-10,-2.5,-6.5,-3.5,-2.5,4,-5,-2.5,-4.5,,,,1,1,0,0,1,0,1,0,1,1,0,1,1
ARI,SF,WSH,DET,CAR,NYJ,DAL,SEA,MIA,BUF,SEA,NE,LAR,NYG,,,,262,220,165,159,211,108,165,256,184,231,244,100,231,,,,5.3,6.8,7.4,4.2,9.7,7.1,7.5,9.8,6.7,5.7,4.4,3.4,6.4,,,,29,75,66,136,89,132,160,101,166,151,142,190,78,,,,5,5,3.3,5.6,4.2,7.5,4.8,4.8,6.2,3.2,4.1,4.4,3.7,,,,102,97,38,29,59,43,40,71,40,115,60,21,50,,,,1,1,3,1,1,0,2,1,2,0,1,2,0,,,,0.5,0.411,0.4,0.3333,0.4166,0.48,0.37,0.4166,0.384,0.5454,0.41,0.3333,0.3888,,,,31,33.45,27,23,33,27,25,30,30,25,34,21,38,,,,1,0.5,1,1,1,0.75,0.6,0.6666,0.5,1,0.6666,1,0.28,,,,1,0,1,0,0,1,0,1,0,1,0,0,1,,,,7,-7.5,-5,-3,-7,1,3.5,-6,-2,3.5,-1,2.5,-3,,,,1,1,0,0,1,1,1,0,0,0,0,0,1
